industry,organization_size,cloud_environment,endpoint_protection_type,region,data_sensitivity_level,employee_count,annual_revenue_inr,exposed_assets,internet_facing_assets,critical_vulnerabilities,high_vulnerabilities,average_patch_delay_days,mfa_coverage_percent,edr_coverage_percent,backup_success_rate_percent,immutable_backup_enabled,network_segmentation_score,phishing_failure_rate_percent,security_awareness_training_score,mean_time_to_detect_hours,mean_time_to_respond_hours,previous_security_incidents,third_party_vendor_risk_score,cloud_security_posture_score,privileged_accounts_count,encryption_coverage_percent,security_budget_inr,ransomware_incident,phishing_incident,data_breach_incident,ddos_incident,ransomware_impact_inr,phishing_impact_inr,data_breach_impact_inr,ddos_impact_inr
Healthcare,Small (50-250),AWS Multi-Account,Legacy Antivirus,APAC,Low (Public Data),8072,26730414664.11,1410,75,2,8,51.7,95.7,54.8,84.7,0,0.25,25.5,0.88,59.6,46.7,2,0.2,0.33,62,78.6,851961166.87,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),481,1589782436.11,1458,411,5,9,53.3,64.6,93.5,72.9,1,0.8,28.2,0.56,26.9,60.3,1,0.71,0.36,202,97.3,50812170.18,0,0,0,1,0.0,0.0,0.0,9055665.95
Banking & Financial Services,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,APAC,High (PII + Financial KYC),8034,27997183701.86,897,247,6,8,16.8,76.1,62.9,80.3,0,0.61,8.0,0.52,10.3,9.5,0,0.3,0.59,228,95.1,518497919.93,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),On-Premises Legacy,Legacy Antivirus,India (BFSI Regulated),Low (Public Data),513,1334685437.29,862,189,2,9,7.5,72.0,76.2,73.3,0,0.51,10.3,0.58,23.4,19.0,0,0.75,0.45,87,84.3,42843638.45,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),GCP Native,SentinelOne,APAC,Critical (Cardholder / UPI Core),8076,17674512410.66,593,66,2,12,37.4,60.5,45.5,81.0,1,0.45,18.3,0.54,19.4,163.8,1,0.41,0.73,163,56.5,620780467.78,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),7999,15844260230.72,743,232,3,15,34.1,44.9,72.7,93.2,0,0.2,23.4,0.82,20.5,21.8,3,0.8,0.43,22,64.0,346875899.58,0,0,0,1,0.0,0.0,0.0,95243553.22
Critical Infrastructure,Mid-Market (250-1000),AWS Multi-Account,None,North America,High (PII + Financial KYC),526,824869367.51,1295,249,1,8,20.3,70.7,88.7,65.3,0,0.85,16.5,0.81,7.7,54.6,2,0.84,0.42,71,68.7,13090393.85,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),Azure Hybrid,SentinelOne,European Union (GDPR),Moderate (Internal Confidential),573,1692331003.35,627,63,1,12,17.0,54.4,97.3,76.3,0,0.77,28.0,0.72,6.7,92.5,0,0.54,0.76,233,59.3,51179588.75,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),Critical (Cardholder / UPI Core),2097,4124699072.65,588,105,2,8,26.2,78.5,81.7,85.0,1,0.75,34.7,0.44,66.5,38.4,2,0.52,0.36,221,94.3,72262057.96,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Multi-Cloud Enterprise,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),235,637621216.06,253,27,2,12,12.3,71.7,55.9,78.4,0,0.33,30.7,0.95,56.5,20.7,0,0.4,0.41,175,67.2,14581393.31,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Multi-Cloud Enterprise,SentinelOne,APAC,Critical (Cardholder / UPI Core),8005,26682143769.48,377,61,2,11,24.6,74.8,64.6,90.9,0,0.24,30.3,0.6,7.2,55.9,1,0.78,0.38,225,71.6,790416975.8,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),AWS Multi-Account,SentinelOne,North America,Moderate (Internal Confidential),8063,27417644632.84,1369,272,6,14,100.9,75.5,53.5,66.4,1,0.25,9.5,0.87,16.7,48.4,0,0.35,0.54,176,75.5,450738498.88,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),130,196146634.83,1108,175,2,15,35.6,92.3,63.2,94.5,1,0.6,31.9,0.86,53.2,23.5,1,0.56,0.36,9,98.0,8331882.31,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Multi-Cloud Enterprise,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),194,414025112.17,312,77,4,8,55.0,48.7,75.3,98.6,0,0.68,34.7,0.57,53.2,31.6,2,0.59,0.71,129,75.0,10715880.42,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Small (50-250),GCP Native,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),218,692096820.85,1367,452,0,14,66.0,87.5,71.3,74.2,1,0.95,21.1,0.54,29.4,24.5,2,0.81,0.91,242,72.1,19868100.27,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),8076,20778662956.84,1010,155,5,9,15.2,96.3,92.2,64.5,0,0.59,27.3,0.71,93.6,14.1,1,0.45,0.49,226,50.4,660078451.85,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),Multi-Cloud Enterprise,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),8066,25125730888.53,1374,215,3,8,74.0,82.6,56.0,99.0,0,0.45,22.2,0.61,34.2,35.2,0,0.34,0.32,120,54.3,763034377.79,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),AWS Multi-Account,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),8054,25826331439.95,548,148,1,15,13.0,48.2,68.4,73.9,0,0.71,34.7,0.93,123.1,162.2,2,0.41,0.72,221,87.4,552999016.81,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Azure Hybrid,SentinelOne,India (BFSI Regulated),High (PII + Financial KYC),587,1400143182.21,154,32,5,12,33.1,90.2,79.1,79.4,1,0.68,22.3,0.93,18.9,67.9,5,0.64,0.52,126,60.9,27170115.48,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),AWS Multi-Account,SentinelOne,North America,Critical (Cardholder / UPI Core),1994,4422623956.84,839,149,3,13,7.6,86.7,98.0,69.6,0,0.22,18.2,0.85,13.3,151.8,0,0.31,0.64,202,76.6,89973514.82,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),On-Premises Legacy,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),1993,4804856998.48,1462,430,4,9,12.8,90.9,56.5,62.2,0,0.29,8.0,0.41,11.6,52.6,0,0.5,0.35,209,55.2,125475950.78,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),On-Premises Legacy,Microsoft Defender for Endpoint,European Union (GDPR),Low (Public Data),184,516228634.57,149,47,3,11,33.0,68.7,90.0,65.0,0,0.72,30.0,0.89,8.6,69.6,0,0.18,0.54,124,93.3,18775250.3,0,0,0,1,0.0,0.0,0.0,2314450.78
E-Commerce & Retail,Enterprise (1000-5000),AWS Multi-Account,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),130,290461379.75,588,133,2,12,35.1,88.4,78.4,69.4,0,0.26,9.5,0.78,7.9,28.2,1,0.58,0.86,90,68.2,10152057.99,0,0,0,1,0.0,0.0,0.0,1409157.11
Healthcare,Mid-Market (250-1000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,European Union (GDPR),Critical (Cardholder / UPI Core),8012,24436412338.09,1400,147,3,13,39.2,49.1,52.2,99.0,1,0.8,24.7,0.7,3.3,20.6,0,0.5,0.49,104,54.5,811643935.04,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Multi-Cloud Enterprise,None,APAC,High (PII + Financial KYC),2049,6778062468.52,541,102,4,14,18.8,74.0,87.3,91.5,0,0.88,10.8,0.63,95.8,20.5,0,0.48,0.73,181,58.2,135419407.8,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,SentinelOne,APAC,Moderate (Internal Confidential),2035,4201506592.79,479,96,3,14,75.6,72.6,54.4,76.6,1,0.35,25.4,0.76,10.7,72.3,1,0.31,0.78,130,64.0,74846904.2,0,1,0,1,0.0,19152729.19,0.0,22727917.54
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),Critical (Cardholder / UPI Core),502,1721849602.75,612,109,5,11,22.4,92.9,82.8,72.6,1,0.58,4.5,0.55,59.2,63.4,1,0.65,0.49,44,59.5,35120614.07,0,0,0,1,0.0,0.0,0.0,9145468.09
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),8033,22054203813.89,961,123,3,12,6.1,90.9,58.0,65.7,0,0.44,8.6,0.73,13.0,41.1,1,0.78,0.79,103,86.3,857201330.7,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),8069,26275387629.94,920,176,4,11,44.9,82.2,70.3,79.2,1,0.59,26.0,0.78,12.6,40.7,0,0.37,0.64,119,70.5,1016764964.41,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),Azure Hybrid,Microsoft Defender for Endpoint,North America,Moderate (Internal Confidential),1982,3384924749.42,633,116,3,11,24.1,50.3,87.3,95.8,0,0.66,21.9,0.79,9.4,93.8,1,0.84,0.52,117,84.3,119922697.46,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),2025,4056071505.08,558,62,0,5,34.5,87.6,79.3,99.2,0,0.21,20.8,0.64,8.6,10.1,1,0.23,0.45,216,56.0,170351618.82,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),AWS Multi-Account,SentinelOne,APAC,Low (Public Data),598,1280938819.0,280,89,7,15,26.4,76.2,85.0,95.6,0,0.87,6.0,0.44,6.9,35.3,0,0.35,0.47,75,68.1,21046683.45,0,0,1,0,0.0,0.0,28844895.16,0.0
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,SentinelOne,European Union (GDPR),High (PII + Financial KYC),485,1021237486.64,1179,372,5,11,52.5,88.2,88.4,62.6,0,0.48,30.6,0.64,21.6,123.9,0,0.35,0.48,171,80.9,35217132.74,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),Critical (Cardholder / UPI Core),8083,14902807457.57,628,174,4,9,26.7,95.4,46.9,66.2,0,0.34,23.3,0.92,13.2,63.3,1,0.63,0.54,68,57.7,592886951.23,0,0,0,1,0.0,0.0,0.0,86020657.6
E-Commerce & Retail,Small (50-250),GCP Native,Legacy Antivirus,North America,Moderate (Internal Confidential),595,1925659127.55,1270,216,5,11,11.3,66.6,71.0,65.6,0,0.22,21.5,0.71,108.4,10.9,1,0.21,0.83,37,76.5,58965924.94,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,SentinelOne,European Union (GDPR),Moderate (Internal Confidential),2004,4683797462.29,247,39,4,13,48.8,83.9,98.2,66.4,1,0.94,33.7,0.42,14.4,52.7,1,0.56,0.77,99,55.6,128191447.21,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),On-Premises Legacy,SentinelOne,India (BFSI Regulated),High (PII + Financial KYC),8090,27718446837.71,780,206,1,9,63.6,97.4,87.9,64.9,1,0.77,20.6,0.62,8.6,36.3,0,0.8,0.87,80,62.1,982541240.61,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),Azure Hybrid,None,APAC,Low (Public Data),1996,5323221688.23,277,64,4,8,52.4,52.6,64.8,63.8,0,0.54,28.8,0.76,38.4,80.8,0,0.8,0.4,136,84.1,193305269.67,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),8007,14226751695.22,1457,335,4,10,17.6,90.0,60.4,73.8,1,0.85,9.9,0.56,14.7,23.5,0,0.84,0.7,36,54.4,503014664.02,0,0,0,1,0.0,0.0,0.0,86966449.32
SaaS & Cloud Provider,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),8011,20762985260.96,845,73,3,14,34.0,48.4,83.1,66.2,0,0.54,13.5,0.51,38.2,62.8,2,0.74,0.51,9,58.6,909356645.09,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),AWS Multi-Account,Legacy Antivirus,APAC,Critical (Cardholder / UPI Core),2072,7225251092.17,1263,297,2,11,17.9,41.0,52.4,65.7,1,0.72,24.1,0.74,13.7,11.6,0,0.33,0.87,103,91.4,318098231.91,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),Multi-Cloud Enterprise,SentinelOne,European Union (GDPR),Critical (Cardholder / UPI Core),8002,21048007680.34,1279,409,10,11,41.5,90.0,92.7,80.7,0,0.92,23.2,0.75,17.3,241.4,1,0.27,0.51,142,96.2,713078718.3,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),AWS Multi-Account,Legacy Antivirus,European Union (GDPR),Moderate (Internal Confidential),8084,12156223572.05,1063,80,7,17,37.8,96.6,49.4,68.0,0,0.73,5.8,0.67,4.2,147.4,0,0.19,0.82,208,98.9,534277410.92,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),AWS Multi-Account,CrowdStrike Falcon,North America,Critical (Cardholder / UPI Core),495,1666249104.55,443,67,4,14,27.0,41.9,75.2,60.2,0,0.38,4.7,0.45,9.9,36.9,1,0.38,0.92,42,88.0,71355499.38,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),2075,4087311785.43,432,87,2,14,44.9,89.8,90.7,87.5,1,0.9,9.8,0.83,15.3,14.3,0,0.81,0.88,186,79.7,89226229.19,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),2005,5768501502.81,1432,366,6,16,30.3,81.3,83.9,73.0,0,0.22,20.1,0.84,13.0,82.3,2,0.54,0.9,136,68.7,212868384.92,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),512,1295442078.67,364,27,3,12,63.6,81.3,71.2,89.1,1,0.89,27.7,0.63,21.0,74.0,1,0.39,0.72,29,79.1,31962370.03,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),GCP Native,CrowdStrike Falcon,North America,Low (Public Data),8037,17286522207.46,669,208,4,10,39.9,67.1,57.4,95.3,1,0.92,15.4,0.41,17.0,140.7,1,0.15,0.56,76,60.9,673480730.98,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),Low (Public Data),177,365554391.38,486,30,3,14,48.7,64.6,77.4,96.5,0,0.27,11.1,0.77,19.7,26.9,1,0.55,0.52,25,77.9,8774961.22,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),AWS Multi-Account,CrowdStrike Falcon,North America,Critical (Cardholder / UPI Core),212,711794181.7,208,63,7,12,18.9,62.0,97.2,67.0,0,0.24,21.9,0.97,25.8,33.6,1,0.83,0.39,177,59.4,15604596.66,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),High (PII + Financial KYC),2034,6760714544.6,1411,82,2,11,30.7,62.5,50.2,86.6,0,0.83,6.2,0.68,13.0,26.5,0,0.85,0.42,101,61.5,298403364.7,0,0,1,0,0.0,0.0,102843043.91,0.0
E-Commerce & Retail,Enterprise (1000-5000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,India (BFSI Regulated),Low (Public Data),520,1313660233.66,1428,137,3,18,26.5,95.3,46.7,63.0,1,0.22,8.5,0.8,13.7,29.5,0,0.53,0.4,168,90.1,30402310.05,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),8041,16218619734.6,1141,331,5,13,54.5,88.1,67.7,78.3,1,0.8,17.5,0.71,7.4,11.5,0,0.73,0.51,76,68.8,585327527.89,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,India (BFSI Regulated),High (PII + Financial KYC),496,845523295.91,972,299,9,11,21.5,58.5,76.9,76.9,0,0.46,33.9,0.54,65.4,107.5,0,0.23,0.65,56,63.5,14081798.31,0,0,0,1,0.0,0.0,0.0,4092245.5
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),8081,14652087499.77,289,99,9,7,46.7,83.7,64.3,68.0,0,0.22,13.4,0.6,2.6,22.1,0,0.84,0.83,152,92.8,439470919.22,0,0,1,0,0.0,0.0,79074676.63,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,Legacy Antivirus,European Union (GDPR),High (PII + Financial KYC),2038,5185698034.12,684,57,0,13,60.8,78.7,83.8,90.6,0,0.68,30.2,0.96,47.7,22.0,1,0.53,0.47,194,93.0,158070590.8,0,0,0,1,0.0,0.0,0.0,26625150.27
Critical Infrastructure,Large Enterprise (5000+),GCP Native,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),1993,4216510222.87,1261,262,5,9,29.5,89.9,73.2,96.1,0,0.41,34.2,0.75,14.2,6.8,1,0.42,0.48,95,64.1,158500924.09,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Multi-Cloud Enterprise,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),211,334252756.03,40,2,1,16,40.0,45.4,63.7,70.2,1,0.31,29.3,0.51,82.4,15.0,0,0.41,0.58,76,51.9,11876891.64,0,1,0,0,0.0,3037684.9,0.0,0.0
Healthcare,Mid-Market (250-1000),Multi-Cloud Enterprise,SentinelOne,India (BFSI Regulated),Low (Public Data),500,1205167385.31,1315,127,5,10,31.0,81.3,87.9,69.8,1,0.61,17.1,0.43,57.3,50.1,0,0.72,0.31,88,60.6,41063591.2,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),Azure Hybrid,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),2042,6110437070.42,733,75,5,18,24.7,54.5,50.4,67.7,0,0.22,29.0,0.43,69.4,17.9,0,0.8,0.4,84,61.1,143862590.07,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Large Enterprise (5000+),Multi-Cloud Enterprise,SentinelOne,European Union (GDPR),Critical (Cardholder / UPI Core),525,1723779871.76,1203,83,2,16,15.2,54.3,47.2,87.1,0,0.5,4.4,0.69,7.2,10.8,0,0.83,0.77,12,74.0,48258567.28,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,APAC,Low (Public Data),2034,5431935497.84,448,142,3,6,52.0,81.6,48.1,62.2,0,0.66,30.7,0.46,6.8,50.7,1,0.57,0.52,119,73.4,178679537.0,0,1,0,0,0.0,28003502.88,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),GCP Native,Legacy Antivirus,APAC,Moderate (Internal Confidential),8041,23693483935.63,595,52,2,14,16.4,92.8,89.0,62.5,0,0.74,18.7,0.88,30.2,102.3,2,0.53,0.4,207,71.3,636032507.1,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),8018,17865234070.79,615,146,1,8,42.7,70.4,88.1,66.9,0,0.59,17.4,0.6,13.3,32.1,2,0.36,0.86,216,53.5,740555159.47,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),Multi-Cloud Enterprise,None,North America,High (PII + Financial KYC),171,426213457.29,604,143,1,11,92.8,67.5,89.9,81.6,1,0.25,26.4,0.62,30.2,92.4,2,0.63,0.74,149,83.0,18051996.52,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),On-Premises Legacy,SentinelOne,North America,Moderate (Internal Confidential),2027,5998407276.29,1037,113,2,11,41.8,88.1,60.3,70.0,1,0.77,32.8,0.6,17.7,32.0,0,0.25,0.48,218,56.3,181587725.14,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),AWS Multi-Account,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),232,685633417.5,1010,353,2,14,47.5,41.5,71.5,99.0,1,0.49,11.1,0.71,8.7,42.5,2,0.84,0.9,193,86.7,12703737.57,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),GCP Native,SentinelOne,APAC,Critical (Cardholder / UPI Core),157,368801247.07,678,104,1,12,39.3,81.7,62.3,75.6,1,0.34,16.6,0.98,32.0,34.4,1,0.77,0.92,93,58.1,8199844.26,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),2063,5337671451.27,1090,350,5,22,30.4,43.3,76.7,78.6,0,0.4,23.8,0.92,8.7,129.0,2,0.58,0.44,69,78.7,231119198.52,0,0,1,0,0.0,0.0,57770196.39,0.0
Healthcare,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),1985,6645205698.02,242,80,1,10,15.2,54.4,90.6,62.6,1,0.7,22.4,0.53,18.3,40.6,0,0.45,0.86,116,91.2,258904280.31,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),8038,22216993497.07,979,327,7,7,43.7,79.4,46.1,87.9,1,0.35,10.5,0.92,5.6,19.4,0,0.75,0.47,234,59.8,815260690.58,0,0,0,1,0.0,0.0,0.0,109587064.22
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,None,North America,Moderate (Internal Confidential),219,609947686.05,177,48,3,14,41.5,62.4,75.8,91.1,1,0.27,3.6,0.74,20.2,19.2,1,0.58,0.75,44,87.1,16024458.21,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Large Enterprise (5000+),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),8049,24704317466.82,1090,137,6,10,35.3,57.4,55.9,73.2,0,0.67,8.2,0.82,57.9,12.5,0,0.78,0.48,9,62.4,632108943.71,0,0,1,0,0.0,0.0,432959510.64,0.0
Healthcare,Mid-Market (250-1000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,Critical (Cardholder / UPI Core),518,896370920.58,820,70,4,8,49.8,69.8,92.0,88.7,0,0.68,4.3,0.7,3.8,20.2,0,0.4,0.85,140,82.4,28443162.37,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,SentinelOne,European Union (GDPR),Moderate (Internal Confidential),536,1364531960.65,741,163,4,11,20.4,90.1,96.7,69.0,0,0.53,4.9,0.78,26.7,174.9,0,0.75,0.44,38,95.8,43569572.81,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),Azure Hybrid,Microsoft Defender for Endpoint,India (BFSI Regulated),High (PII + Financial KYC),183,625652015.48,1394,220,4,6,58.3,65.1,89.7,91.5,0,0.58,10.9,0.63,9.1,30.4,0,0.15,0.32,30,65.1,20713203.47,0,0,0,1,0.0,0.0,0.0,2708346.71
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),189,420207628.24,338,101,3,6,38.0,71.4,46.8,81.4,0,0.82,26.2,0.56,38.9,11.4,0,0.28,0.41,72,90.3,13538102.58,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),On-Premises Legacy,SentinelOne,European Union (GDPR),High (PII + Financial KYC),2069,4323904393.89,1274,348,2,6,46.5,49.3,61.3,75.7,1,0.45,11.2,0.69,15.7,40.1,3,0.7,0.6,52,56.4,106169861.94,0,0,0,1,0.0,0.0,0.0,22274957.1
SaaS & Cloud Provider,Enterprise (1000-5000),AWS Multi-Account,SentinelOne,North America,Critical (Cardholder / UPI Core),1996,5394022198.69,317,42,1,16,12.8,66.2,57.4,88.4,1,0.85,10.2,0.68,38.4,36.9,0,0.69,0.41,129,84.3,110138603.06,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),Multi-Cloud Enterprise,CrowdStrike Falcon,European Union (GDPR),Low (Public Data),169,328238365.5,464,25,0,9,42.1,41.0,89.6,84.3,0,0.86,23.4,0.63,9.0,29.3,3,0.46,0.57,186,61.4,14482480.97,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),GCP Native,None,APAC,High (PII + Financial KYC),195,509318611.04,124,15,2,8,6.7,89.4,46.0,81.0,0,0.58,21.0,0.86,17.1,18.6,0,0.27,0.44,226,65.1,9045153.9,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),594,1075914588.9,902,198,1,12,16.8,52.2,94.8,68.3,1,0.21,19.3,0.82,11.8,61.6,1,0.19,0.51,101,65.4,42534215.47,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,Moderate (Internal Confidential),8064,21446908934.14,1342,98,7,8,52.6,94.3,76.7,93.6,0,0.89,23.7,0.57,20.7,169.1,0,0.38,0.92,13,85.0,448402701.53,0,0,0,0,0.0,0.0,0.0,0.0
